lr,hidden_units,dropout,val_accuracy,val_auc,test_accuracy,test_auc
0.0005,"[64, 32]",0.2,0.92442387342453,0.973642885684967,0.7034870982170105,0.8056039810180664
0.001,"[64, 32]",0.2,0.9245092272758484,0.9732106328010559,0.7184948325157166,0.8138548135757446
0.0005,"[64, 32]",0.3,0.9252915978431702,0.9737054705619812,0.703818142414093,0.8146799802780151
0.001,"[64, 32]",0.3,0.922631561756134,0.9729014039039612,0.7123703360557556,0.8145739436149597
0.0005,"[128, 64]",0.2,0.9238833785057068,0.9734700918197632,0.6911829710006714,0.8119871020317078
0.001,"[128, 64]",0.2,0.9236130714416504,0.9723566770553589,0.69631427526474,0.8045721054077148
0.0005,"[128, 64]",0.3,0.9232574701309204,0.9729586243629456,0.7069079875946045,0.8066068887710571
0.001,"[128, 64]",0.3,0.9236984252929688,0.9729896187782288,0.717391312122345,0.8090267181396484
