lr,conv_filters,dropout,val_accuracy,val_auc,test_accuracy,test_auc
0.0001,"[16, 32, 64, 128]",0.2,0.8432148098945618,0.9164729118347168,0.6725888252258301,0.5915566086769104
0.0005,"[16, 32, 64, 128]",0.2,0.9138122200965881,0.9769766926765442,0.47991612553596497,0.5721734762191772
0.0001,"[32, 64, 128, 256]",0.3,0.872489333152771,0.9156309962272644,0.6229860782623291,0.6188908219337463
0.0005,"[32, 64, 128, 256]",0.3,0.8797012567520142,0.9449178576469421,0.6096336245536804,0.6815187335014343
0.0001,"[64, 128, 256, 512]",0.4,0.8786059617996216,0.9605739712715149,0.5256013870239258,0.6168720722198486
0.0005,"[64, 128, 256, 512]",0.4,0.9004551768302917,0.9558230638504028,0.6725336313247681,0.7180218696594238
0.0001,"[32, 64, 64, 128]",0.3,0.7332717180252075,0.7868271470069885,0.6716508269309998,0.5251171588897705
0.0001,"[32, 64, 128, 256]",0.5,0.7341678738594055,0.7793054580688477,0.6983006000518799,0.5610465407371521
