lr,conv_filters,dropout,val_accuracy,val_auc,test_accuracy,test_auc
0.0001,"[16, 32, 64, 128]",0.2,0.8947937488555908,0.9523074626922607,0.6566982865333557,0.6862664818763733
0.0005,"[16, 32, 64, 128]",0.2,0.7823755145072937,0.8509868383407593,0.5333259701728821,0.6377584934234619
0.0001,"[32, 64, 128, 256]",0.3,0.8252204656600952,0.8966302275657654,0.6166961193084717,0.7217313051223755
0.0005,"[32, 64, 128, 256]",0.3,0.7555903196334839,0.9612073302268982,0.5384021401405334,0.6244495511054993
0.0001,"[64, 128, 256, 512]",0.4,0.7209957242012024,0.8167461156845093,0.6328073143959045,0.547549843788147
0.0005,"[64, 128, 256, 512]",0.4,0.8178520798683167,0.9301636219024658,0.4565769135951996,0.6613887548446655
0.0001,"[32, 64, 64, 128]",0.3,0.8919488191604614,0.9702113270759583,0.6086956262588501,0.6676350235939026
0.0001,"[32, 64, 128, 256]",0.5,0.8114651441574097,0.871048629283905,0.6225447058677673,0.7874099016189575
