lr,conv_filters,dropout,val_accuracy,val_auc,test_accuracy,test_auc
5e-05,"[16, 32, 64, 128]",0.2,0.7377667427062988,0.8727626204490662,0.6082542538642883,0.6846593022346497
0.0001,"[16, 32, 64, 128]",0.2,0.8675675392150879,0.9528812170028687,0.6532773971557617,0.6749866008758545
0.0002,"[16, 32, 64, 128]",0.2,0.7168421149253845,0.8658933639526367,0.6530015468597412,0.6460674405097961
0.0001,"[16, 32, 64, 128]",0.25,0.8308961391448975,0.9587724804878235,0.5634517669677734,0.6207844018936157
0.0001,"[16, 32, 64, 128]",0.3,0.5949786901473999,0.822567343711853,0.6013021469116211,0.6120041608810425
5e-05,"[32, 64, 128, 256]",0.25,0.7237553596496582,0.8173544406890869,0.5474509000778198,0.6111975312232971
0.0001,"[32, 64, 128, 256]",0.25,0.8920199275016785,0.9679572582244873,0.7001214027404785,0.7691787481307983
0.0002,"[32, 64, 128, 256]",0.25,0.8181792497634888,0.9575464129447937,0.6038402318954468,0.7318869233131409
0.0001,"[32, 64, 128, 256]",0.3,0.8402560353279114,0.8969945311546326,0.6008607149124146,0.6500805020332336
0.0001,"[32, 64, 128, 256]",0.35,0.6584210395812988,0.8340170979499817,0.5548995733261108,0.6153647303581238
0.0001,"[32, 64, 64, 128]",0.25,0.8121621608734131,0.8677053451538086,0.6347384452819824,0.5745538473129272
0.0001,"[32, 64, 64, 128]",0.3,0.8393741250038147,0.9156829714775085,0.6666299104690552,0.6814248561859131
0.0001,"[32, 64, 96, 128]",0.3,0.5790327191352844,0.8366827964782715,0.6459391117095947,0.607247531414032
0.0001,"[64, 128, 256, 512]",0.35,0.6904694437980652,0.8585169315338135,0.6274001598358154,0.6922652721405029
5e-05,"[64, 128, 256, 512]",0.4,0.851863443851471,0.9704003930091858,0.6731405854225159,0.6815398335456848
5e-05,"[64, 128, 256, 512]",0.45,0.6785775423049927,0.8674050569534302,0.5032001733779907,0.5692246556282043
0.0001,"[64, 128, 256, 512]",0.5,0.7645661234855652,0.8336169719696045,0.6572500467300415,0.6334244012832642
0.0001,"[32, 64, 128, 256]",0.4,0.8913655877113342,0.9578664898872375,0.5981019735336304,0.6560144424438477
5e-05,"[32, 64, 128, 256]",0.4,0.8201707005500793,0.8640245199203491,0.6411387920379639,0.6865971684455872
0.0001,"[32, 64, 128, 256]",0.5,0.822773814201355,0.8709321022033691,0.656974196434021,0.6448862552642822
5e-05,"[32, 64, 128, 256]",0.5,0.822489321231842,0.8976161479949951,0.6232619881629944,0.7595150470733643
0.0001,"[32, 64, 128, 256]",0.6,0.6855049729347229,0.9124301075935364,0.6281174421310425,0.5512036681175232
5e-05,"[32, 64, 128, 256]",0.6,0.640640139579773,0.8255692720413208,0.5507062673568726,0.576569676399231
0.0001,"[16, 32, 64, 64]",0.2,0.41392603516578674,0.7606814503669739,0.48333701491355896,0.6494174599647522
0.0001,"[16, 32, 64, 64]",0.25,0.7667709589004517,0.8678670525550842,0.6118957996368408,0.6788352727890015
0.0001,"[16, 32, 64, 64]",0.3,0.7611095309257507,0.8264164924621582,0.6197307705879211,0.6204367876052856
